City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
554,Pontes E Lacerda,BR,85.21,overcast clouds,-15.2261,-59.3353,Hotel Bressan
562,Brumado,BR,79.0,light rain,-14.2036,-41.6653,Hotel São Lázaro
564,Kango,GA,76.06,clear sky,0.1943,10.0951,Hôtel Bar Restaurant Le Bercail
569,Oriximina,BR,85.96,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
570,Kuala Terengganu,MY,80.55,scattered clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
571,Lamu,KE,79.02,overcast clouds,-2.2717,40.902,Lamu House
572,Jacmel,HT,84.04,scattered clouds,18.2342,-72.5347,Historic Hotel Florita
575,San Policarpo,PH,79.56,overcast clouds,12.1791,125.5072,Agapita M. Nicart
579,Mount Isa,AU,73.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
582,Itarema,BR,81.91,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
583,Celestun,MX,74.1,broken clouds,20.8667,-90.4,Posada Lilia
587,Mogadishu,SO,77.31,clear sky,2.0371,45.3438,Hotel Juba
590,Progreso,MX,73.51,broken clouds,21.2833,-89.6667,Playa Linda Hotel
596,Sola,VU,82.78,overcast clouds,-13.8833,167.55,Leumerus Bungalows
598,Aloleng,PH,76.37,broken clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
599,Mbalmayo,CM,71.92,few clouds,3.5167,11.5,Hôtel les Nouveaux Jardins Des Tropiques
604,Santa Luzia,BR,80.74,moderate rain,-19.7697,-43.8514,Pousada Chao Earth
609,Bonanza,NI,85.62,few clouds,14.0289,-84.591,Edificio Administrativo HEMCO
612,Kisangani,CD,71.69,overcast clouds,0.5167,25.2,Grand Ramela Hotel
613,Maraba,BR,86.18,moderate rain,-5.3686,-49.1178,Hotel Del Principe
616,Ler,SS,78.35,overcast clouds,8.3018,30.1418,
617,Caibarien,CU,83.52,clear sky,22.5206,-79.4669,La Nena
619,Odienne,CI,80.2,overcast clouds,9.51,-7.5692,Oustaz Vame DIAKITE
621,Sao Cristovao,BR,85.91,few clouds,-11.0147,-37.2064,Vó Nazinha Hostel
629,Koumac,NC,79.16,overcast clouds,-20.5667,164.2833,Le Monitel
633,Naifaru,MV,80.78,few clouds,5.4444,73.3657,Naifaru Residence Guest House
634,Bogo,PH,77.14,overcast clouds,11.0517,124.0055,Acrige Apartelle 2 pax Twin @ heart of Bogo City
640,Bo Rai,TH,82.85,broken clouds,12.5728,102.5371,Baiboon Resort
641,Nizwa,OM,70.34,clear sky,22.9333,57.5333,Orient Apartments
642,Boende,CD,78.28,scattered clouds,-0.2167,20.8667,
643,Vanimo,PG,77.61,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
644,Loa Janan,ID,73.58,moderate rain,-0.583,117.095,Kost bu jono
646,Pimenta Bueno,BR,82.04,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
647,Kralendijk,BQ,76.98,light intensity drizzle,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
648,Santa Ana,US,74.44,few clouds,33.7456,-117.8678,Santa Ana Travel Inn
651,Townsville,AU,74.28,scattered clouds,-19.25,146.8,Rydges Southbank Townsville
652,Gbadolite,CD,77.79,overcast clouds,4.2833,21.0167,Zenic
653,Belmonte,BR,75.7,light rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
656,Nacala,MZ,76.05,overcast clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
658,Honolulu,US,79.56,scattered clouds,21.3069,-157.8583,Aston at the Executive Centre Hotel
659,Uvira,CD,71.87,overcast clouds,-3.4067,29.1458,Hotel Suzana
661,Le Port,RE,82.4,moderate rain,-20.9373,55.2919,KORBEY D'OR OUEST
665,Grand-Santi,GF,79.92,scattered clouds,4.25,-54.3833,Hotel La Villa Couacou
667,Ourossogui,SN,87.8,clear sky,15.6064,-13.3211,Hotel welma
670,Kpandae,GH,86.56,clear sky,8.4689,-0.0113,S. Amaski Guest House
675,Mercedes,AR,74.64,scattered clouds,-34.6515,-59.4307,Posada del Inti Centro
676,Jaffna,LK,77.18,broken clouds,9.6685,80.0074,Green Grass Hotel & Restaurant (Pvt) Ltd.
677,Perth,AU,73.15,clear sky,-31.9333,115.8333,Beatty Lodge
678,Omboue,GA,77.32,scattered clouds,-1.5746,9.2618,Hotel Olako
